"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","22,736.80","22,759.00","22,498.00","22,871.00","22,683.55","-","-187.45","-0.82","3,03,74,68,440","1,18,495.12","24,144.20","20,385.65","8.35","2.97"
"RELIANCE","1,409.00","1,437.00","1,393.10","1,425.40","1,436.00","-","10.60","0.74","3,09,57,881","4,384.94","1,611.80","1,290.00","4.88","2.21"
"HDFCBANK","770.00","778.80","762.25","779.00","774.75","-","-4.25","-0.55","4,79,98,755","3,697.63","1,020.50","726.65","4.38","-19.51"
"SYNGENE","431.95","518.55","429.90","432.15","468.05","-","35.90","8.31","5,92,74,654","2,861.01","728.60","380.00","18.08","-26.18"
"MEESHO","173.38","196.62","173.06","172.68","194.00","-","21.32","12.35","15,01,63,771","2,858.22","254.40","125.56","31.64","-"
"HFCL","106.80","119.50","106.80","107.10","115.96","-","8.86","8.27","23,47,23,195","2,683.12","119.50","59.82","60.01","46.06"
"BAJFINANCE","945.00","975.00","933.90","930.00","939.70","-","9.70","1.04","2,73,64,272","2,604.18","1,102.50","787.90","14.98","8.83"
"WAAREEENER","3,300.00","3,324.90","3,100.00","3,502.90","3,129.90","-","-373.00","-10.65","81,09,147","2,569.59","3,865.00","2,403.00","1.32","20.17"
"BHARTIARTL","1,860.00","1,906.00","1,860.00","1,888.10","1,891.00","-","2.90","0.15","1,27,09,188","2,393.71","2,174.50","1,746.90","6.12","1.42"
"ICICIBANK","1,261.00","1,272.20","1,259.00","1,281.00","1,265.70","-","-15.30","-1.19","1,77,40,110","2,243.54","1,500.00","1,187.60","4.37","-11.30"
"AXISBANK","1,288.00","1,288.00","1,257.30","1,296.40","1,275.50","-","-20.90","-1.61","1,64,81,853","2,086.57","1,418.30","1,042.50","6.91","7.64"
"ETERNAL","249.00","251.69","242.65","254.03","246.60","-","-7.43","-2.92","7,27,00,438","1,787.34","368.45","212.60","4.26","6.06"
"NAVINFLUOR","7,050.00","7,200.00","6,660.50","6,758.50","6,815.00","-","56.50","0.84","23,22,243","1,599.59","7,200.00","4,189.40","12.94","50.72"
"CEMPRO","738.00","815.25","722.00","679.40","815.25","-","135.85","20.00","1,97,66,290","1,552.21","944.00","476.60","53.01","67.21"
"SBIN","1,075.00","1,077.70","1,063.00","1,086.90","1,071.95","-","-14.95","-1.38","1,42,69,539","1,526.21","1,234.70","755.50","5.32","35.92"
